ID "Comune" "Store Name"

1 "Canischio" "Cartfull di Canischio"
2 "Ivrea" "Copp di Ivrea"
3 "Mercenasco" "Generali Alimentari di Mercenasco"
4 "Meugliano" "Zetabreve di Meugliano"
5 "Mezzenile" "Copp di Mezzenile"
6 "Novalesa" "Eurostore di Novalesa"
7 "Rivoli" "Super di Rivoli"
8 "Strambino" "Wallmars di Strambino"
9 "Trofarello" "Ubersmart di Trofarello"
10 "Viù" "Super di Viù"
11 "Fontanetto Po" "Ubersmart di Fontanetto Po"
12 "Casalvolone" "Zetabreve di Casalvolone"
13 "Garbagna Novarese" "Ubersmart di Garbagna Novarese"
14 "Albaretto della Torre" "Little di Albaretto della Torre"
15 "Brossasco" "Wallmars di Brossasco"
16 "Entracque" "Zetabreve di Entracque"
17 "Isasca" "Ubersmart di Isasca"
18 "Magliano Alpi" "Copp di Magliano Alpi"
19 "Pagno" "Wallmars di Pagno"
20 "Roccabruna" "Little di Roccabruna"
21 "Torre Mondovì" "Ubersmart di Torre Mondovì"
22 "Trinità" "Cartfull di Trinità"
23 "Vernante" "Super di Vernante"
24 "Verzuolo" "Cartfull di Verzuolo"
25 "Robella" "Generali Alimentari di Robella"
26 "Carrosio" "Ubersmart di Carrosio"
27 "Merana" "Super di Merana"
28 "Mongiardino Ligure" "Generali Alimentari di Mongiardino Ligure"
29 "Monleale" "O scian di Monleale"
30 "Roccaforte Ligure" "Wallmars di Roccaforte Ligure"
31 "Valtournenche" "Megamercato di Valtournenche"
32 "Cengio" "Generali Alimentari di Cengio"
33 "Vezzi Portio" "Ubersmart di Vezzi Portio"
34 "Pieve Ligure" "Super di Pieve Ligure"
35 "Arcola" "Ikao di Arcola"
36 "Santo Stefano di Magra" "Copp di Santo Stefano di Magra"
37 "Biandronno" "Little di Biandronno"
38 "Appiano Gentile" "Wallmars di Appiano Gentile"
39 "Castiglione d'Intelvi" "Copp di Castiglione d'Intelvi"
40 "Fenegrò" "Ubersmart di Fenegrò"
41 "Rovello Porro" "Ikao di Rovello Porro"
42 "Sala Comacina" "Eurostore di Sala Comacina"
43 "Villa Guardia" "Copp di Villa Guardia"
44 "Ambivere" "Ubersmart di Ambivere"
45 "Ciserano" "Ikao di Ciserano"
46 "Curno" "Little di Curno"
47 "Ranica" "Zetabreve di Ranica"
48 "San Pellegrino Terme" "O scian di San Pellegrino Terme"
49 "Capriano del Colle" "Little di Capriano del Colle"
50 "Lavenone" "Little di Lavenone"
51 "Roè Volciano" "Generali Alimentari di Roè Volciano"
52 "San Felice del Benaco" "O scian di San Felice del Benaco"
53 "Casteggio" "Ikao di Casteggio"
54 "Sannazzaro de' Burgondi" "Zetabreve di Sannazzaro de' Burgondi"
55 "Fiesco" "Copp di Fiesco"
56 "Gussola" "Copp di Gussola"
57 "Bigarello" "Ubersmart di Bigarello"
58 "Marmirolo" "Ubersmart di Marmirolo"
59 "Dobbiaco" "Wallmars di Dobbiaco"
60 "Canischio" "O scian di Fiè allo Sc1	"Cartfull di Canischio"
2 "Ivrea" "Copp di Ivrea"
3 "Mercenasco" "Generali Alimentari di Mercenasco"
4 "Meugliano" "Zetabreve di Meugliano"
5 "Mezzenile" "Copp di Mezzenile"
6 "Novalesa" "Eurostore di Novalesa"
7 "Rivoli" "Super di Rivoli"
8 "Strambino" "Wallmars di Strambino"
9 "Trofarello" "Ubersmart di Trofarello"
10 "Viù" "Super di Viù"
11 "Fontanetto Po" "Ubersmart di Fontanetto Po"
12 "Casalvolone" "Zetabreve di Casalvolone"
13 "Garbagna Novarese" "Ubersmart di Garbagna Novarese"
14 "Albaretto della Torre" "Little di Albaretto della Torre"
15 "Brossasco" "Wallmars di Brossasco"
16 "Entracque" "Zetabreve di Entracque"
17 "Isasca" "Ubersmart di Isasca"
18 "Magliano Alpi" "Copp di Magliano Alpi"
19 "Pagno" "Wallmars di Pagno"
20 "Roccabruna" "Little di Roccabruna"
21 "Torre Mondovì" "Ubersmart di Torre Mondovì"
22 "Trinità" "Cartfull di Trinità"
23 "Vernante" "Super di Vernante"
24 "Verzuolo" "Cartfull di Verzuolo"
25 "Robella" "Generali Alimentari di Robella"
26 "Carrosio" "Ubersmart di Carrosio"
27 "Merana" "Super di Merana"
28 "Mongiardino Ligure" "Generali Alimentari di Mongiardino Ligure"
29 "Monleale" "O scian di Monleale"
30 "Roccaforte Ligure" "Wallmars di Roccaforte Ligure"
31 "Valtournenche" "Megamercato di Valtournenche"
32 "Cengio" "Generali Alimentari di Cengio"
33 "Vezzi Portio" "Ubersmart di Vezzi Portio"
34 "Pieve Ligure" "Super di Pieve Ligure"
35 "Arcola" "Ikao di Arcola"
36 "Santo Stefano di Magra" "Copp di Santo Stefano di Magra"
37 "Biandronno" "Little di Biandronno"
38 "Appiano Gentile" "Wallmars di Appiano Gentile"
39 "Castiglione d'Intelvi" "Copp di Castiglione d'Intelvi"
40 "Fenegrò" "Ubersmart di Fenegrò"
41 "Rovello Porro" "Ikao di Rovello Porro"
42 "Sala Comacina" "Eurostore di Sala Comacina"
43 "Villa Guardia" "Copp di Villa Guardia"
44 "Ambivere" "Ubersmart di Ambivere"
45 "Ciserano" "Ikao di Ciserano"
46 "Curno" "Little di Curno"
47 "Ranica" "Zetabreve di Ranica"
48 "San Pellegrino Terme" "O scian di San Pellegrino Terme"
49 "Capriano del Colle" "Little di Capriano del Colle"
50 "Lavenone" "Little di Lavenone"
51 "Roè Volciano" "Generali Alimentari di Roè Volciano"
52 "San Felice del Benaco" "O scian di San Felice del Benaco"
53 "Casteggio" "Ikao di Casteggio"
54 "Sannazzaro de' Burgondi" "Zetabreve di Sannazzaro de' Burgondi"
55 "Fiesco" "Copp di Fiesco"
56 "Gussola" "Copp di Gussola"
57 "Bigarello" "Ubersmart di Bigarello"
58 "Marmirolo" "Ubersmart di Marmirolo"
59 "Dobbiaco" "Wallmars di Dobbiaco"
60 "Fiè allo Sciliar" "O scian di Fiè allo Sciliar"
61 "Parcines" "Copp di Parcines"
62 "Trodena nel parco naturale" "O scian di Trodena nel parco naturale"
63 "Arco" "Wallmars di Arco"
64 "Tesero" "Cartfull di Tesero"
65 "Dolcè" "Wallmars di Dolcè"
66 "Roveredo di Guà" "O scian di Roveredo di Guà"
67 "San Zeno di Montagna" "O scian di San Zeno di Montagna"
68 "Montorso Vicentino" "Copp di Montorso Vicentino"
69 "Sospirolo" "Super di Sospirolo"
70 "Trichiana" "Zetabreve di Trichiana"
71 "Cervarese Santa Croce" "Eurostore di Cervarese Santa Croce"
72 "Galliera Veneta" "Super di Galliera Veneta"
73 "Santa Giustina in Colle" "Ikao di Santa Giustina in Colle"
74 "Gonars" "Eurostore di Gonars"
75 "Povoletto" "Cartfull di Povoletto"
